2021-05-13 15:22:25,030  INFO | [Ljava.lang.String;@dabb23.container-0-C-1 | i.v.omt.orchestrator.listener.OrderPlacedEventListener | Received an "OrderPlacedEvent" for order 17 
2021-05-13 15:25:16,178  INFO | [Ljava.lang.String;@c71bd7.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 23 
2021-05-13 15:25:16,178  INFO | [Ljava.lang.String;@c71bd7.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 23 
2021-05-13 15:25:16,223  INFO | [Ljava.lang.String;@c71bd7.container-0-C-1 | i.v.omt.orchestrator.rest.InventoryRestClientFallback  | Executing compensate inventory fallback for order 23 
2021-05-13 15:25:18,243  INFO | [Ljava.lang.String;@c71bd7.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 23 
2021-05-13 15:25:18,243  INFO | [Ljava.lang.String;@c71bd7.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 23 
2021-05-13 15:25:18,263  INFO | [Ljava.lang.String;@c71bd7.container-0-C-1 | i.v.omt.orchestrator.rest.InventoryRestClientFallback  | Executing compensate inventory fallback for order 23 
2021-05-13 15:33:44,895  INFO | main | i.v.omt.orchestrator.OrchestrationServiceApplication   | The following profiles are active: dev 
2021-05-13 15:33:58,219  INFO | main | i.v.omt.orchestrator.OrchestrationServiceApplication   | Started OrchestrationServiceApplication in 15.32 seconds (JVM running for 16.639) 
2021-05-13 15:34:00,847  INFO | [Ljava.lang.String;@18198db.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 23 
2021-05-13 15:34:00,848  INFO | [Ljava.lang.String;@18198db.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 23 
2021-05-13 15:34:01,130  INFO | [Ljava.lang.String;@18198db.container-0-C-1 | i.v.omt.orchestrator.rest.InventoryRestClientFallback  | Executing compensate inventory fallback for order 23 
2021-05-13 15:34:02,282  INFO | [Ljava.lang.String;@18198db.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 23 
2021-05-13 15:34:02,282  INFO | [Ljava.lang.String;@18198db.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 23 
2021-05-13 15:34:02,326  INFO | [Ljava.lang.String;@18198db.container-0-C-1 | i.v.omt.orchestrator.rest.InventoryRestClientFallback  | Executing compensate inventory fallback for order 23 
2021-05-13 15:34:04,349  INFO | [Ljava.lang.String;@18198db.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 23 
2021-05-13 15:34:04,349  INFO | [Ljava.lang.String;@18198db.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 23 
2021-05-13 15:34:04,371  INFO | [Ljava.lang.String;@18198db.container-0-C-1 | i.v.omt.orchestrator.rest.InventoryRestClientFallback  | Executing compensate inventory fallback for order 23 
2021-05-13 15:43:50,267  INFO | main | i.v.omt.orchestrator.OrchestrationServiceApplication   | The following profiles are active: dev 
2021-05-13 15:44:03,651  INFO | main | i.v.omt.orchestrator.OrchestrationServiceApplication   | Started OrchestrationServiceApplication in 15.446 seconds (JVM running for 16.774) 
2021-05-13 15:44:06,188  INFO | [Ljava.lang.String;@167c032.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 23 
2021-05-13 15:44:06,189  INFO | [Ljava.lang.String;@167c032.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 23 
2021-05-13 15:44:06,499  INFO | [Ljava.lang.String;@167c032.container-0-C-1 | i.v.omt.orchestrator.rest.InventoryRestClientFallback  | Executing compensate inventory fallback for order 23 
2021-05-13 15:44:07,656  INFO | [Ljava.lang.String;@167c032.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 23 
2021-05-13 15:44:07,656  INFO | [Ljava.lang.String;@167c032.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 23 
2021-05-13 15:44:07,673  INFO | [Ljava.lang.String;@167c032.container-0-C-1 | i.v.omt.orchestrator.rest.InventoryRestClientFallback  | Executing compensate inventory fallback for order 23 
2021-05-13 15:44:09,726  INFO | [Ljava.lang.String;@167c032.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 23 
2021-05-13 15:44:09,726  INFO | [Ljava.lang.String;@167c032.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 23 
2021-05-13 15:44:09,745  INFO | [Ljava.lang.String;@167c032.container-0-C-1 | i.v.omt.orchestrator.rest.InventoryRestClientFallback  | Executing compensate inventory fallback for order 23 
2021-05-13 15:50:09,100  INFO | main | i.v.omt.orchestrator.OrchestrationServiceApplication   | The following profiles are active: dev 
2021-05-13 15:50:22,378  INFO | main | i.v.omt.orchestrator.OrchestrationServiceApplication   | Started OrchestrationServiceApplication in 15.274 seconds (JVM running for 16.604) 
2021-05-13 15:50:24,915  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 23 
2021-05-13 15:50:24,916  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 23 
2021-05-13 15:50:25,286  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.omt.orchestrator.rest.InventoryRestClientFallback  | Executing compensate inventory fallback for order 23 
2021-05-13 15:50:26,449  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 23 
2021-05-13 15:50:26,449  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 23 
2021-05-13 15:50:26,470  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.omt.orchestrator.rest.InventoryRestClientFallback  | Executing compensate inventory fallback for order 23 
2021-05-13 15:50:28,493  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 23 
2021-05-13 15:50:28,493  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 23 
2021-05-13 15:50:28,534  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.omt.orchestrator.rest.InventoryRestClientFallback  | Executing compensate inventory fallback for order 23 
2021-05-13 16:08:09,701  INFO | main | i.v.omt.orchestrator.OrchestrationServiceApplication   | The following profiles are active: dev 
2021-05-13 16:08:22,521  INFO | main | i.v.omt.orchestrator.OrchestrationServiceApplication   | Started OrchestrationServiceApplication in 14.744 seconds (JVM running for 16.038) 
2021-05-13 16:08:25,158  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 23 
2021-05-13 16:08:25,158  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 23 
2021-05-13 16:08:25,532  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.omt.orchestrator.rest.InventoryRestClientFallback  | Executing compensate inventory fallback for order 23 
2021-05-13 16:08:26,692  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 23 
2021-05-13 16:08:26,692  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 23 
2021-05-13 16:08:26,752  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.omt.orchestrator.rest.InventoryRestClientFallback  | Executing compensate inventory fallback for order 23 
2021-05-13 16:08:28,810  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 23 
2021-05-13 16:08:28,810  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 23 
2021-05-13 16:08:28,824  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.omt.orchestrator.rest.InventoryRestClientFallback  | Executing compensate inventory fallback for order 23 
2021-05-13 16:15:20,036  INFO | [Ljava.lang.String;@537465.container-0-C-1 | i.v.omt.orchestrator.listener.OrderPlacedEventListener | Received an "OrderPlacedEvent" for order 25 
2021-05-13 16:15:20,036  INFO | [Ljava.lang.String;@537465.container-0-C-1 | i.v.omt.orchestrator.listener.OrderPlacedEventListener | Going to call inventory service for order 25 
2021-05-13 16:15:25,043  INFO | [Ljava.lang.String;@1e507af.container-0-C-1 | i.v.omt.orchestrator.listener.ItemFetchedEventListener | Received an "ItemFetchedEvent" for order 25 
2021-05-13 16:15:25,043  INFO | [Ljava.lang.String;@1e507af.container-0-C-1 | i.v.omt.orchestrator.listener.ItemFetchedEventListener | Going to call payment service for order 25 
2021-05-13 16:15:26,088  INFO | HystrixTimer-3 | i.v.omt.orchestrator.rest.PaymentRestClientFallback    | Executing payment fallback for order 25 
2021-05-13 16:15:30,207  INFO | scheduling-1 | i.v.omt.orchestrator.kafka.source.FallbackEventSource  | Event for object ORD with id 25 was published successfully 
2021-05-13 16:15:30,226  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 25 
2021-05-13 16:15:30,226  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 25 
2021-05-13 16:15:30,265  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.omt.orchestrator.rest.InventoryRestClientFallback  | Executing compensate inventory fallback for order 25 
2021-05-13 16:15:31,330  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 25 
2021-05-13 16:15:31,330  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 25 
2021-05-13 16:15:31,341  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.omt.orchestrator.rest.InventoryRestClientFallback  | Executing compensate inventory fallback for order 25 
2021-05-13 16:15:33,351  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 25 
2021-05-13 16:15:33,351  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 25 
2021-05-13 16:15:33,388  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.omt.orchestrator.rest.InventoryRestClientFallback  | Executing compensate inventory fallback for order 25 
2021-05-13 16:16:55,029  INFO | [Ljava.lang.String;@537465.container-0-C-1 | i.v.omt.orchestrator.listener.OrderPlacedEventListener | Received an "OrderPlacedEvent" for order 27 
2021-05-13 16:16:55,029  INFO | [Ljava.lang.String;@537465.container-0-C-1 | i.v.omt.orchestrator.listener.OrderPlacedEventListener | Going to call inventory service for order 27 
2021-05-13 16:17:00,020  INFO | [Ljava.lang.String;@1e507af.container-0-C-1 | i.v.omt.orchestrator.listener.ItemFetchedEventListener | Received an "ItemFetchedEvent" for order 27 
2021-05-13 16:17:00,020  INFO | [Ljava.lang.String;@1e507af.container-0-C-1 | i.v.omt.orchestrator.listener.ItemFetchedEventListener | Going to call payment service for order 27 
2021-05-13 16:17:01,061  INFO | HystrixTimer-2 | i.v.omt.orchestrator.rest.PaymentRestClientFallback    | Executing payment fallback for order 27 
2021-05-13 16:17:05,010  INFO | scheduling-1 | i.v.omt.orchestrator.kafka.source.FallbackEventSource  | Event for object ORD with id 27 was published successfully 
2021-05-13 16:17:05,016  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 27 
2021-05-13 16:17:05,016  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 27 
2021-05-13 16:17:05,051  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.omt.orchestrator.rest.InventoryRestClientFallback  | Executing compensate inventory fallback for order 27 
2021-05-13 16:17:06,071  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 27 
2021-05-13 16:17:06,071  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 27 
2021-05-13 16:17:06,129  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.omt.orchestrator.rest.InventoryRestClientFallback  | Executing compensate inventory fallback for order 27 
2021-05-13 16:17:08,186  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 27 
2021-05-13 16:17:08,187  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 27 
2021-05-13 16:17:08,245  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.omt.orchestrator.rest.InventoryRestClientFallback  | Executing compensate inventory fallback for order 27 
2021-05-13 16:19:20,033  INFO | [Ljava.lang.String;@537465.container-0-C-1 | i.v.omt.orchestrator.listener.OrderPlacedEventListener | Received an "OrderPlacedEvent" for order 29 
2021-05-13 16:19:20,033  INFO | [Ljava.lang.String;@537465.container-0-C-1 | i.v.omt.orchestrator.listener.OrderPlacedEventListener | Going to call inventory service for order 29 
2021-05-13 16:19:25,109  INFO | [Ljava.lang.String;@1e507af.container-0-C-1 | i.v.omt.orchestrator.listener.ItemFetchedEventListener | Received an "ItemFetchedEvent" for order 29 
2021-05-13 16:19:25,109  INFO | [Ljava.lang.String;@1e507af.container-0-C-1 | i.v.omt.orchestrator.listener.ItemFetchedEventListener | Going to call payment service for order 29 
2021-05-13 16:19:26,111  INFO | HystrixTimer-4 | i.v.omt.orchestrator.rest.PaymentRestClientFallback    | Executing payment fallback for order 29 
2021-05-13 16:19:30,023  INFO | scheduling-1 | i.v.omt.orchestrator.kafka.source.FallbackEventSource  | Event for object ORD with id 29 was published successfully 
2021-05-13 16:19:30,030  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 29 
2021-05-13 16:19:30,031  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 29 
2021-05-13 16:19:30,135  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.omt.orchestrator.rest.InventoryRestClientFallback  | Executing compensate inventory fallback for order 29 
2021-05-13 16:19:31,174  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 29 
2021-05-13 16:19:31,174  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 29 
2021-05-13 16:19:31,187  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.omt.orchestrator.rest.InventoryRestClientFallback  | Executing compensate inventory fallback for order 29 
2021-05-13 16:19:33,249  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 29 
2021-05-13 16:19:33,250  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 29 
2021-05-13 16:19:33,303  INFO | [Ljava.lang.String;@71c02d.container-0-C-1 | i.v.omt.orchestrator.rest.InventoryRestClientFallback  | Executing compensate inventory fallback for order 29 
2021-05-13 16:22:23,853  INFO | main | i.v.omt.orchestrator.OrchestrationServiceApplication   | The following profiles are active: dev 
2021-05-13 16:22:37,303  INFO | main | i.v.omt.orchestrator.OrchestrationServiceApplication   | Started OrchestrationServiceApplication in 15.665 seconds (JVM running for 16.987) 
2021-05-13 16:22:40,044  INFO | [Ljava.lang.String;@f315f1.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 23 
2021-05-13 16:22:40,044  INFO | [Ljava.lang.String;@f315f1.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 23 
2021-05-13 16:22:40,405  INFO | [Ljava.lang.String;@f315f1.container-0-C-1 | i.v.omt.orchestrator.rest.InventoryRestClientFallback  | Executing compensate inventory fallback for order 23 
2021-05-13 16:22:41,559  INFO | [Ljava.lang.String;@f315f1.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 23 
2021-05-13 16:22:41,559  INFO | [Ljava.lang.String;@f315f1.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 23 
2021-05-13 16:22:41,580  INFO | [Ljava.lang.String;@f315f1.container-0-C-1 | i.v.omt.orchestrator.rest.InventoryRestClientFallback  | Executing compensate inventory fallback for order 23 
2021-05-13 16:22:43,603  INFO | [Ljava.lang.String;@f315f1.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 23 
2021-05-13 16:22:43,603  INFO | [Ljava.lang.String;@f315f1.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 23 
2021-05-13 16:22:43,662  INFO | [Ljava.lang.String;@f315f1.container-0-C-1 | i.v.omt.orchestrator.rest.InventoryRestClientFallback  | Executing compensate inventory fallback for order 23 
2021-05-13 16:22:43,680  INFO | [Ljava.lang.String;@f315f1.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 25 
2021-05-13 16:22:43,680  INFO | [Ljava.lang.String;@f315f1.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 25 
2021-05-13 16:22:43,691  INFO | [Ljava.lang.String;@f315f1.container-0-C-1 | i.v.omt.orchestrator.rest.InventoryRestClientFallback  | Executing compensate inventory fallback for order 25 
2021-05-13 16:22:44,804  INFO | [Ljava.lang.String;@f315f1.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 25 
2021-05-13 16:22:44,804  INFO | [Ljava.lang.String;@f315f1.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 25 
2021-05-13 16:22:44,804  INFO | [Ljava.lang.String;@f315f1.container-0-C-1 | i.v.omt.orchestrator.rest.InventoryRestClientFallback  | Executing compensate inventory fallback for order 25 
2021-05-13 16:22:46,875  INFO | [Ljava.lang.String;@f315f1.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 25 
2021-05-13 16:22:46,875  INFO | [Ljava.lang.String;@f315f1.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 25 
2021-05-13 16:22:46,875  INFO | [Ljava.lang.String;@f315f1.container-0-C-1 | i.v.omt.orchestrator.rest.InventoryRestClientFallback  | Executing compensate inventory fallback for order 25 
2021-05-13 16:22:46,913  INFO | [Ljava.lang.String;@f315f1.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 27 
2021-05-13 16:22:46,914  INFO | [Ljava.lang.String;@f315f1.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 27 
2021-05-13 16:22:46,914  INFO | [Ljava.lang.String;@f315f1.container-0-C-1 | i.v.omt.orchestrator.rest.InventoryRestClientFallback  | Executing compensate inventory fallback for order 27 
2021-05-13 16:22:48,001  INFO | [Ljava.lang.String;@f315f1.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 27 
2021-05-13 16:22:48,001  INFO | [Ljava.lang.String;@f315f1.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 27 
2021-05-13 16:22:48,001  INFO | [Ljava.lang.String;@f315f1.container-0-C-1 | i.v.omt.orchestrator.rest.InventoryRestClientFallback  | Executing compensate inventory fallback for order 27 
